West Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*, Payment ,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1996.05," 160,300 ",7.72, 837 ,23.8,"42,493","40,186",105.1,105.4,109.2,,
1996.06," 162,200 ",7.97, 888 ,25.2,"42,544","42,622",99.2,105.1,106.9,,
1996.07," 163,300 ",7.78, 863 ,24.5,"42,691","41,412",102.2,99.2,107.0,,
1996.08," 158,200 ",7.69, 855 ,24.2,"42,936","41,054",103.2,102.2,103.1,,
1996.09," 164,100 ",7.82, 857 ,24.3,"43,182","41,157",103.1,103.2,107.8,,
1996.10," 156,500 ",7.56, 812 ,22.9,"43,429","38,972",109.0,103.1,110.6,,
1996.11," 154,800 ",7.40, 810 ,22.9,"43,678","38,897",109.3,109.0,109.6,,
1996.12," 159,300 ",7.43, 822 ,23.2,"43,928","39,439",107.9,109.3,114.4,,
1997.01," 164,600 ",7.58, 850 ,23.8,"44,180","40,802",104.9,107.9,111.7,,
1997.02," 157,400 ",7.46, 813 ,22.7,"44,433","39,032",110.4,104.9,114.9,,
1997.03," 160,400 ",7.73, 852 ,23.6,"44,688","40,920",105.9,110.4,107.0,,
1997.04," 164,500 ",7.89, 883 ,24.3,"44,944","42,393",102.8,105.9,105.4,,
1997.05," 168,600 ",7.75, 883 ,24.2,"45,201","42,407",103.4,102.8,105.1,,
1997.06," 169,300 ",7.54, 889 ,24.2,"45,460","42,679",103.3,103.4,99.2,,
1997.07," 171,300 ",7.41, 873 ,23.6,"45,641","41,918",105.8,103.3,102.2,,
1997.08," 167,100 ",7.40, 878 ,23.6,"45,742","42,132",105.8,105.8,103.2,,
1997.09," 173,500 ",7.36, 866 ,23.2,"45,843","41,589",107.8,105.8,103.1,,
1997.10," 170,400 ",7.30, 862 ,22.9,"45,945","41,377",109.0,107.8,109.0,,
1997.11," 166,400 ",7.24, 857 ,22.7,"46,047","41,156",110.2,109.0,109.3,,
1997.12," 171,400 ",7.20, 864 ,22.7,"46,149","41,467",109.9,110.2,107.9,,
1998.01," 172,000 ",7.10, 925 ,24.0,"46,252","44,400",104.2,109.9,104.9,,
1998.02," 170,000 ",7.09, 913 ,23.6,"46,354","43,824",105.8,104.2,110.4,,
1998.03," 171,900 ",7.13, 927 ,23.9,"46,457","44,496",104.4,105.8,105.9,,
1998.04," 178,000 ",7.12, 959 ,24.7,"46,560","46,032",101.1,104.4,102.8,,
1998.05," 181,100 ",7.11, 975 ,25.1,"46,664","46,800",99.7,101.1,103.4,,
1998.06," 176,900 ",7.02, 943 ,24.2,"46,767","45,264",103.3,99.7,103.3,,
1998.07," 184,200 ",7.00, 980 ,25.1,"46,896","47,040",99.7,103.3,105.8,,
1998.08," 173,500 ",6.96, 920 ,23.5,"47,051","44,160",106.5,99.7,105.8,,
1998.09," 185,100 ",6.75, 960 ,24.4,"47,207","46,080",102.4,106.5,107.8,,
1998.10," 178,600 ",6.78, 930 ,23.6,"47,363","44,640",106.1,102.4,109.0,,
1998.11," 179,700 ",6.91, 948 ,23.9,"47,520","45,504",104.4,106.1,110.2,,
1998.12," 178,800 ",6.83, 935 ,23.5,"47,677","44,880",106.2,104.4,109.9,,
1999.01," 187,600 ",6.83, 981 ,24.6,"47,835","47,088",101.6,106.2,104.2,,
1999.02," 181,700 ",6.89, 956 ,23.9,"47,993","45,888",104.6,101.6,105.8,,
1999.03," 186,300 ",7.06, 998 ,24.9,"48,151","47,904",100.5,104.6,104.4,,
1999.04," 185,100 ",6.95, 980 ,24.3,"48,311","47,040",102.7,100.5,101.1,,
1999.05," 189,600 ",7.13," 1,022 ",25.3,"48,470","49,056",98.8,102.7,99.7,,
1999.06," 187,900 ",7.49," 1,050 ",25.9,"48,631","50,400",96.5,98.8,103.3,,
1999.07," 187,300 ",7.43," 1,041 ",25.6,"48,812","49,968",97.7,96.5,99.7,,
1999.08," 193,300 ",7.72," 1,105 ",27.1,"49,013","53,040",92.4,97.7,106.5,,
1999.09," 198,400 ",7.65," 1,126 ",27.5,"49,216","54,048",91.1,92.4,102.4,,
1999.10," 187,300 ",7.72," 1,070 ",26.0,"49,420","51,360",96.2,91.1,106.1,,
1999.11," 185,500 ",7.62," 1,050 ",25.4,"49,624","50,400",98.5,96.2,104.4,,
1999.12," 186,100 ",7.75," 1,067 ",25.7,"49,829","51,216",97.3,98.5,106.2,,
2000.01," 188,000 ",8.00," 1,104 ",26.5,"50,035","52,992",94.4,97.3,101.6,,
2000.02," 186,800 ",8.10," 1,107 ",26.4,"50,242","53,136",94.6,94.4,104.6,,
2000.03," 196,500 ",7.97," 1,150 ",27.4,"50,449","55,200",91.4,94.6,100.5,,
2000.04," 197,500 ",8.08," 1,168 ",27.7,"50,658","56,064",90.4,91.4,102.7,,
2000.05," 201,000 ",8.42," 1,227 ",28.9,"50,867","58,896",86.4,90.4,98.8,,
2000.06," 198,200 ",8.19," 1,185 ",27.8,"51,078","56,880",89.8,86.4,96.5,,
2000.07," 199,100 ",8.07," 1,177 ",27.6,"51,215","56,496",90.7,89.8,97.7,,
2000.08," 199,500 ",8.01," 1,172 ",27.4,"51,280","56,256",91.2,90.7,92.4,,
2000.09," 204,700 ",7.99," 1,200 ",28.0,"51,345","57,600",89.1,91.2,91.1,,
2000.10," 200,800 ",7.72," 1,148 ",26.8,"51,410","55,104",93.3,89.1,96.2,,
2000.11," 200,000 ",7.85," 1,157 ",27.0,"51,475","55,536",92.7,93.3,98.5,,
2000.12," 198,900 ",7.44," 1,106 ",25.8,"51,540","53,088",97.1,92.7,97.3,,
2001.01," 192,300 ",7.14," 1,038 ",24.1,"51,606","49,824",103.6,97.1,94.4,,
2001.02," 197,100 ",7.16," 1,066 ",24.8,"51,671","51,168",101.0,103.6,94.6,,
2001.03," 208,100 ",7.03," 1,111 ",25.8,"51,736","53,328",97.0,101.0,91.4,,
2001.04," 205,200 ",7.14," 1,108 ",25.7,"51,802","53,184",97.4,97.0,90.4,,
2001.05," 212,500 ",7.19," 1,153 ",26.7,"51,867","55,344",93.7,97.4,86.4,,
2001.06," 213,100 ",7.14," 1,150 ",26.6,"51,933","55,200",94.1,93.7,89.8,,
2001.07," 207,700 ",7.14," 1,121 ",25.9,"51,999","53,808",96.6,94.1,90.7,,
2001.08," 212,700 ",6.93," 1,124 ",25.9,"52,065","53,952",96.5,96.6,91.2,,
2001.09," 221,700 ",6.74," 1,149 ",26.4,"52,131","55,152",94.5,96.5,89.1,,
