U.S. FIRST-TIME HOMEBUYER AFFORDABILITY,,,,,,,,,,,,,,,,,,,,,,,,
"Quarterly, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Starter,,,Effective,Interest,,Prime 1st Time,,First Time,Composite,,,,,,,,,,,,,,
,Home,10%,Loan,Interest,Rate +,Monthly,Median,Qualifying,Affordability,Affordability,Affordability,,,,,,,,,,,,,
,Price,Down,Amount,Rate,PMI,Payment,Income,Income,Index,Index,Gap,,,,,,,,,,,,,
1999.2,"119,800","11,980","107,820",7.13,7.38,745,"31,621","35,760",88.4,133.4,33.7%,,,,,,,,,,,,,
1999.3,"121,800","12,180","109,620",7.58,7.83,791,"32,016","37,968",84.3,127.0,33.6%,,,,,,,,,,,,,
1999.4,"119,900","11,990","107,910",7.66,7.91,785,"32,416","37,680",86.0,129.7,33.7%,,,,,,,,,,,,,
2000.1,"119,500","11,950","107,550",8.02,8.27,809,"32,607","38,832",84.0,126.4,33.5%,,,,,,,,,,,,,
2000.2,"123,800","12,380","111,420",8.19,8.44,852,"32,895","40,896",80.4,121.2,33.7%,,,,,,,,,,,,,
2000.3,"127,800","12,780","115,020",8.10,8.35,872,"33,056","41,856",79.0,118.9,33.6%,,,,,,,,,,,,,
2000.4,"125,300","12,530","112,770",7.81,8.06,832,"33,218","39,936",83.2,125.3,33.6%,,,,,,,,,,,,,
2001.1,"124,800","12,480","112,320",7.21,7.46,782,"33,318","37,536",88.8,133.8,33.6%,,,,,,,,,,,,,
2001.2,"131,700","13,170","118,530",7.15,7.40,821,"33,383","39,408",84.7,127.8,33.7%,,,,,,,,,,,,,
2001.3,"135,200","13,520","121,680",7.06,7.31,835,"33,446","40,080",83.4,125.8,33.7%,,,,,,,,,,,,,
2001.4,"133,600","13,360","120,240",6.71,6.96,797,"33,511","38,256",87.6,132.3,33.8%,,,,,,,,,,,,,
2002.1,"134,800","13,480","121,320",6.86,7.11,816,"33,294","39,168",85.0,128.3,33.7%,,,,,,,,,,,,,
2002.2,"141,200","14,120","127,080",6.82,7.07,851,"33,376","40,848",81.7,123.2,33.7%,,,,,,,,,,,,,
2002.3,"144,100","14,410","129,690",6.41,6.66,833,"33,390","39,984",83.5,126.1,33.8%,,,,,,,,,,,,,
2002.4,"145,100","14,510","130,590",6.11,6.36,813,"33,442","39,024",85.7,129.5,33.8%,,,,,,,,,,,,,
2003.1,"143,100","14,310","128,790",5.90,6.15,785,"33,649","37,680",89.3,135.0,33.9%,,,,,,,,,,,,,
2003.2,"151,200","15,120","136,080",5.58,5.83,801,"33,906","38,448",88.2,133.3,33.8%,,,,,,,,,,,,,
2003.3,"156,800","15,680","141,120",5.66,5.91,838,"34,104","40,224",84.8,128.1,33.8%,,,,,,,,,,,,,
2003.4,"155,000","15,500","139,500",5.83,6.08,844,"34,429","40,512",85.0,128.5,33.9%,,,,,,,,,,,,,
2004.1,"153,600","15,360","138,240",5.64,5.89,819,"34,566","39,312",87.9,132.8,33.8%,,,,,,,,,,,,,
2004.2,"164,600","16,460","148,140",5.73,5.98,886,"34,775","42,528",81.8,123.6,33.8%,,,,,,,,,,,,,
2004.3,"168,600","16,860","151,740",5.82,6.07,917,"35,025","44,016",79.6,120.3,33.8%,,,,,,,,,,,,,
2004.4,"168,600","16,860","151,740",5.72,5.97,907,"35,286","43,536",81.1,122.5,33.8%,,,,,,,,,,,,,
2005.1,"168,000","16,800","151,200",5.77,6.02,908,"35,688","43,584",81.9,123.7,33.8%,,,,,,,,,,,,,
2005.2,"186,500","18,650","167,850",5.83,6.08,"1,015","36,049","48,720",74.0,111.9,33.9%,,,,,,,,,,,,,
2005.3,"193,500","19,350","174,150",5.83,6.08,"1,053","36,514","50,544",72.2,109.2,33.9%,,,,,,,,,,,,,
2005.4,"191,500","19,150","172,350",6.21,6.46,"1,085","36,912","52,080",70.9,107.1,33.8%,,,,,,,,,,,,,
2006.1,"183,700","18,370","165,330",6.39,6.64,"1,060","37,502","50,880",73.7,111.3,33.8%,,,,,,,,,,,,,
2006.2,"193,000","19,300","173,700",6.63,6.88,"1,142","37,899","54,816",69.1,104.4,33.8%,,,,,,,,,,,,,
2006.3,"191,500","19,150","172,350",6.76,7.01,"1,148","38,196","55,104",69.3,104.6,33.7%,,,,,,,,,,,,,
2006.4,"186,200","18,620","167,580",6.52,6.77,"1,089","38,572","52,272",73.8,111.4,33.8%,,,,,,,,,,,,,
2007.1,"180,700","18,070","162,630",6.42,6.67,"1,046","39,234","50,208",78.1,118.0,33.8%,,,,,,,,,,,,,
2007.2,"190,000","19,000","171,000",6.47,6.72,"1,106","39,567","53,088",74.5,112.5,33.8%,,,,,,,,,,,,,
2007.3,"187,300","18,730","168,570",6.75,7.00,"1,122","39,876","53,856",74.0,111.8,33.8%,,,,,,,,,,,,,
2007.4,"174,800","17,480","157,320",6.43,6.68,"1,013","40,375","48,624",83.0,125.3,33.8%,,,,,,,,,,,,,
2008.1,"166,700","16,670","150,030",6.03,6.28,927,"40,942","44,496",92.0,139.0,33.8%,,,,,,,,,,,,,
2008.2,"175,400","17,540","157,860",6.14,6.39,986,"41,288","47,328",87.2,131.7,33.8%,,,,,,,,,,,,,
2008.3,"170,300","17,030","153,270",6.41,6.66,985,"41,408","47,280",87.6,132.2,33.7%,,,,,,,,,,,,,
2008.4,"153,200","15,320","137,880",6.03,6.28,852,"41,113","40,896",100.5,152.0,33.9%,,,,,,,,,,,,,
2009.1,"142,200","14,220","127,980",5.16,5.41,719,"39,219","34,512",113.6,171.7,33.8%,,,,,,,,,,,,,
2009.2,"148,100","14,810","133,290",5.02,5.27,738,"39,676","35,424",112.0,169.6,34.0%,,,,,,,,,,,,,
2009.3,"151,500","15,150","136,350",5.30,5.55,778,"39,703","37,344",106.3,160.7,33.9%,,,,,,,,,,,,,
2009.4,"144,800","14,480","130,320",5.06,5.31,724,"40,216","34,752",115.7,175.1,33.9%,,,,,,,,,,,,,
2010.1,"140,800","14,080","126,720",5.09,5.34,707,"39,556","33,936",116.6,176.3,33.9%,,,,,,,,,,,,,
2010.2,"150,300","15,030","135,270",5.07,5.32,753,"39,426","36,144",109.1,165.2,34.0%,,,,,,,,,,,,,
2010.3,"151,100","15,110","135,990",4.78,5.03,733,"39,345","35,184",111.8,169.3,34.0%,,,,,,,,,,,,,
2010.4,"145,000","14,500","130,500",4.62,4.87,690,"39,258","33,120",118.5,179.5,34.0%,,,,,,,,,,,,,
2011.1,"134,900","13,490","121,410",4.90,5.15,663,"39,845","31,824",125.2,189.5,33.9%,,,,,,,,,,,,,
2011.2,"143,700","14,370","129,330",4.85,5.10,702,"39,924","33,696",118.5,179.2,33.9%,,,,,,,,,,,,,
2011.3,"144,000","14,400","129,600",4.63,4.88,686,"39,987","32,928",121.4,183.9,34.0%,,,,,,,,,,,,,
2011.4,"138,200","13,820","124,380",4.31,4.56,635,"40,026","30,480",131.3,199.2,34.1%,,,,,,,,,,,,,
2012.1,"134,800","13,480","121,320",4.18,4.43,610,"40,344","29,280",137.8,208.9,34.0%,,,,,,,,,,,,,
2012.2,"154,100","15,410","138,690",3.92,4.17,676,"40,508","32,448",124.8,189.3,34.1%,,,,,,,,,,,,,
2012.3,"156,700","15,670","141,030",3.72,3.97,671,"40,617","32,208",126.1,191.4,34.1%,,,,,,,,,,,,,
2012.4,"152,100","15,210","136,890",3.50,3.75,634,"41,103","30,432",135.1,204.9,34.1%,,,,,,,,,,,,,
2013.1,"149,900","14,990","134,910",3.56,3.81,629,"41,114","30,192",136.2,206.5,34.0%,,,,,,,,,,,,,
2013.2,"172,900","17,290","155,610",3.64,3.89,733,"41,529","35,184",118.0,179.1,34.1%,,,,,,,,,,,,,
2013.3,"176,000","17,600","158,400",4.36,4.61,813,"41,811","39,024",107.1,162.2,34.0%,,,,,,,,,,,,,
2013.4,"167,400","16,740","150,660",4.43,4.68,780,"42,041","37,440",112.3,170.1,34.0%,,,,,,,,,,,,,
2014.1,"162,400","16,240","146,160",4.46,4.71,759,"42,318","36,432",116.2,175.9,33.9%,,,,,,,,,,,,,
