UNITED STATES HOUSING AFFORDABILITY,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
, Med-Price , Monthly , Princp.& ,Median,,,,,,,,,,,,,,,,
, Single-Fam , Mortgage , Interest ,as %, Family , Qualifying ,    Affordability Index,,,,,,,,,,,,,
, Home , Rate* , Payment ,Income, Income , Income** ,Composite, Fixed ,ARM,,,FIXDIR,,,,,ARMIR,,,
,,,,,,,,,,,,,,,,,,,,
2011.12," 162,600 ", 4.27 , 641 ,12.5 ," 61,600 "," 30,768 ",200.2 , 194.7 ,N/A*,,,4.50,659.0,31632,194.7,,,,,
2012.01," 154,600 ", 4.37 , 617 ,12.0 ," 61,906 "," 29,616 ",209.0 , 204.4 ,N/A*,,,4.56,631.0,30288,204.4,,,,,
2012.02," 156,100 ", 4.21 , 611 ,11.8 ," 62,089 "," 29,328 ",211.7 , 204.0 ,N/A*,,,4.52,634.0,30432,204,,,,,
2012.03," 165,100 ", 3.96 , 628 ,12.1 ," 62,208 "," 30,144 ",206.4 , 203.5 ,N/A*,,,4.09,637.0,30576,203.5,,,,,
2012.04," 174,100 ", 4.04 , 668 ,12.9 ," 62,319 "," 32,064 ",194.4 , 191.2 ,N/A*,,,4.18,679.0,32592,191.2,,,,,
2012.05," 180,200 ", 3.92 , 682 ,13.1 ," 62,312 "," 32,736 ",190.3 , 186.8 ,N/A*,,,4.08,695.0,33360,186.8,,,,,
2012.06," 189,600 ", 3.81 , 708 ,13.6 ," 62,330 "," 33,984 ",183.4 , 181.1 ,N/A*,,,3.92,717.0,34416,181.1,,,,,
2012.07," 188,600 ", 3.78 , 701 ,13.5 ," 62,420 "," 33,648 ",185.5 , 183.7 ,N/A*,,,3.86,708.0,33984,183.7,,,,,
2012.08," 185,500 ", 3.70 , 683 ,13.1 ," 62,426 "," 32,784 ",190.4 , 188.5 ,N/A*,,,3.78,690.0,33120,188.5,,,,,
2012.09," 178,900 ", 3.68 , 657 ,12.6 ," 62,614 "," 31,536 ",198.5 , 196.2 ,N/A*,,,3.78,665.0,31920,196.2,,,,,
2012.10," 177,000 ", 3.57 , 641 ,12.2 ," 62,841 "," 30,768 ",204.2 , 201.7 ,N/A*,,,3.66,649.0,31152,201.7,,,,,
2012.11," 179,400 ", 3.50 , 644 ,12.2 ," 63,145 "," 30,912 ",204.3 , 202.4 ,N/A*,,,3.57,650.0,31200,202.4,,,,,
2012.12," 180,300 ", 3.43 , 642 ,12.1 ," 63,719 "," 30,816 ",206.8 , 204.9 ,N/A*,,,3.50,648.0,31104,204.9,,,,,
2013.01," 171,100 ", 3.47 , 612 ,11.6 ," 63,185 "," 29,376 ",215.1 , 213.3 ,N/A*,,,3.53,617.0,29616,213.3,,,,,
2013.02," 173,500 ", 3.56 , 628 ,11.9 ," 63,237 "," 30,144 ",209.8 , 208.1 ,N/A*,,,3.62,633.0,30384,208.1,,,,,
2013.03," 184,500 ", 3.66 , 676 ,12.8 ," 63,338 "," 32,448 ",195.2 , 193.2 ,N/A*,,,3.74,683.0,32784,193.2,,,,,
2013.04," 192,100 ", 3.69 , 706 ,13.3 ," 63,581 "," 33,888 ",187.6 , 185.5 ,N/A*,,,3.78,714.0,34272,185.5,,,,,
2013.05," 203,600 ", 3.57 , 738 ,13.8 ," 63,943 "," 35,424 ",180.5 , 179.1 ,N/A*,,,3.64,744.0,35712,179.1,,,,,
