Midwest Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*,Payment,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1997.09," 110,200 ",7.40,600.0,15.5," 47,308 ",28800.0,160.8,156.0,157.4,,
1997.10," 107,900 ",7.31,587.0,15.2," 47,539 ",28176.0,164.8,160.8,165.9,,
1997.11," 108,800 ",7.26,587.0,15.1," 47,772 ",28176.0,165.4,164.8,166.8,,
1997.12," 110,500 ",7.22,590.0,15.1," 48,005 ",28320.0,165.1,165.4,162.7,,
1998.01," 110,400 ",7.12,595.0,14.8," 48,240 ",28560.0,168.9,165.1,163.2,,
1998.02," 107,600 ",7.14,581.0,14.4," 48,476 ",27888.0,173.8,168.9,166.3,,
1998.03," 111,000 ",7.16,600.0,14.8," 48,713 ",28800.0,169.1,173.8,159.2,,
1998.04," 113,100 ",7.14,610.0,15.0," 48,951 ",29280.0,167.2,169.1,156,,
1998.05," 116,900 ",7.13,630.0,15.4," 49,191 ",30240.0,162.7,167.2,156.4,,
1998.06," 120,800 ",7.03,645.0,15.7," 49,431 ",30960.0,159.7,162.7,154.3,,
1998.07," 119,000 ",7.01,634.0,15.3," 49,640 ",30432.0,163.1,159.7,158.2,,
1998.08," 118,800 ",6.99,632.0,15.2," 49,816 ",30336.0,164.2,163.1,156,,
1998.09," 117,800 ",6.78,613.0,14.7," 49,992 ",29424.0,169.9,164.2,160.8,,
1998.10," 115,300 ",6.82,603.0,14.4," 50,170 ",28944.0,173.3,169.9,164.8,,
1998.11," 117,100 ",6.92,618.0,14.7," 50,348 ",29664.0,169.7,173.3,165.4,,
1998.12," 117,100 ",6.84,613.0,14.6," 50,526 ",29424.0,171.7,169.7,165.1,,
1999.01," 116,000 ",6.84,607.0,14.4," 50,705 ",29136.0,174.0,171.7,168.9,,
1999.02," 113,000 ",6.90,595.0,14.0," 50,885 ",28560.0,178.2,174.0,173.8,,
1999.03," 115,100 ",7.06,616.0,14.5," 51,066 ",29568.0,172.7,178.2,169.1,,
1999.04," 118,000 ",6.96,626.0,14.7," 51,247 ",30048.0,170.6,172.7,167.2,,
1999.05," 121,000 ",7.14,653.0,15.2," 51,428 ",31344.0,164.1,170.6,162.7,,
1999.06," 126,400 ",7.50,707.0,16.4," 51,611 ",33936.0,152.1,164.1,159.7,,
1999.07," 125,300 ",7.47,699.0,16.2," 51,804 ",33552.0,154.4,152.1,163.1,,
1999.08," 125,700 ",7.75,720.0,16.6," 52,008 ",34560.0,150.5,154.4,164.2,,
1999.09," 123,100 ",7.66,699.0,16.1," 52,213 ",33552.0,155.6,150.5,169.9,,
1999.10," 121,200 ",7.73,693.0,15.9," 52,419 ",33264.0,157.6,155.6,173.3,,
1999.11," 120,500 ",7.64,683.0,15.6," 52,626 ",32784.0,160.5,157.6,169.7,,
1999.12," 121,600 ",7.75,697.0,15.8," 52,834 ",33456.0,157.9,160.5,171.7,,
2000.01," 122,100 ",8.00,717.0,16.2," 53,042 ",34416.0,154.1,157.9,174,,
2000.02," 116,700 ",8.09,691.0,15.6," 53,251 ",33168.0,160.5,154.1,178.2,,
2000.03," 118,300 ",7.98,693.0,15.6," 53,461 ",33264.0,160.7,160.5,172.7,,
2000.04," 121,300 ",8.08,717.0,16.0," 53,672 ",34416.0,156.0,160.7,170.6,,
2000.05," 122,700 ",8.43,750.0,16.7," 53,884 ",36000.0,149.7,156.0,164.1,,
2000.06," 130,100 ",8.20,778.0,17.3," 54,097 ",37344.0,144.9,149.7,152.1,,
