South Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,,Last,Last,,
, Home ,Rate*,Payment,Income, Income , Income** ,Composite,Month,Year,,
,,,,,,,,,,,
2001.01," 128,900 ",7.07,691.0,17.9," 46,316 "," 33,168 ",139.6,131.3,136.5,,
2001.02," 132,100 ",7.09,709.0,18.3," 46,384 "," 34,032 ",136.3,139.6,126.7,,
2001.03," 137,100 ",6.99,729.0,18.8," 46,451 "," 34,992 ",132.7,136.3,129.9,,
2001.04," 136,800 ",7.09,735.0,19.0," 46,519 "," 35,280 ",131.9,132.7,129.3,,
2001.05," 139,400 ",7.14,752.0,19.4," 46,586 "," 36,096 ",129.1,131.9,123,,
2001.06," 147,800 ",7.09,794.0,20.4," 46,654 "," 38,112 ",122.4,129.1,123.9,,
2001.07," 140,300 ",7.09,754.0,19.4," 46,722 "," 36,192 ",129.1,122.4,122.8,,
2001.08," 143,800 ",6.91,758.0,19.4," 46,790 "," 36,384 ",128.6,129.1,125.1,,
2001.09," 140,300 ",6.72,726.0,18.6," 46,858 "," 34,848 ",134.5,128.6,122.5,,
2001.10," 139,400 ",6.51,706.0,18.1," 46,926 "," 33,888 ",138.5,134.5,126.6,,
2001.11," 141,800 ",6.65,728.0,18.6," 46,994 "," 34,944 ",134.5,138.5,126.8,,
