Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1990.02," 136,400 ",10.08, 906 ,27.5," 39,489 "," 43,488 ",90.8,95.6,89.7,,,,,,,,,,,,,,,
1990.03," 148,900 ",10.00, 935 ,28.4," 39,490 "," 44,880 ",88.0,90.8,85,,,,,,,,,,,,,,,
1990.04," 146,700 ",10.10, 891 ,27.1," 39,490 "," 42,768 ",92.4,88.0,87.5,,,,,,,,,,,,,,,
1990.05," 143,500 ",10.14, 894 ,27.2," 39,491 "," 42,912 ",92.1,92.4,84.9,,,,,,,,,,,,,,,
1990.06," 148,700 ",10.13, 906 ,27.5," 39,492 "," 43,488 ",90.8,92.1,81.6,,,,,,,,,,,,,,,
1990.07," 147,900 ",10.11, 895 ,27.2," 39,492 "," 42,960 ",91.9,90.8,87.1,,,,,,,,,,,,,,,
1990.08," 161,500 ",10.06, 970 ,29.5," 39,527 "," 46,560 ",84.8,91.9,84.7,,,,,,,,,,,,,,,
1990.09," 141,800 ",10.10, 874 ,26.6," 39,597 "," 41,952 ",94.1,84.8,86.7,,,,,,,,,,,,,,,
1990.10," 142,300 ",10.00, 869 ,26.4," 39,667 "," 41,712 ",94.7,94.1,90.1,,,,,,,,,,,,,,,
1990.11," 144,300 ",10.05, 867 ,26.4," 39,737 "," 41,616 ",94.9,94.7,85.9,,,,,,,,,,,,,,,
