,state,agi_class,zipcode,#_of_returns,AGI,returns x AGI
2655,il,3,60706.0,3035.0,110328.0,334845480.0
2656,il,4,60706.0,1749.0,107113.0,187340637.0
2657,il,5,60706.0,970.0,83646.0,81136620.0
2658,il,6,60706.0,769.0,98894.0,76049486.0
2659,il,7,60706.0,124.0,50667.0,6282708.0
2660,il,1,60707.0,4051.0,15683.0,63531833.0
2661,il,2,60707.0,4665.0,80164.0,373965060.0
2662,il,3,60707.0,5423.0,196191.0,1063943793.0
2663,il,4,60707.0,2972.0,182610.0,542716920.0
2664,il,5,60707.0,1607.0,138679.0,222857153.0
2665,il,6,60707.0,1415.0,181843.0,257307845.0
2666,il,7,60707.0,216.0,80515.0,17391240.0
2667,il,1,60712.0,1272.0,-9890.0,-12580080.0
2668,il,2,60712.0,943.0,16034.0,15120062.0
2669,il,3,60712.0,1032.0,37639.0,38843448.0
2670,il,4,60712.0,709.0,43835.0,31079015.0
2671,il,5,60712.0,586.0,50928.0,29843808.0
2672,il,6,60712.0,886.0,122736.0,108744096.0
2673,il,7,60712.0,666.0,409827.0,272944782.0
2674,il,1,60714.0,2985.0,10678.0,31873830.0
2675,il,2,60714.0,3106.0,53106.0,164947236.0
2676,il,3,60714.0,3572.0,130213.0,465120836.0
2677,il,4,60714.0,2360.0,144610.0,341279600.0
2678,il,5,60714.0,1436.0,124457.0,178720252.0
2679,il,6,60714.0,1362.0,176422.0,240286764.0
2680,il,7,60714.0,271.0,105087.0,28478577.0
2681,il,1,60803.0,1736.0,7153.0,12417608.0
2682,il,2,60803.0,2375.0,40707.0,96679125.0
2683,il,3,60803.0,3139.0,115031.0,361082309.0
2684,il,4,60803.0,1854.0,114026.0,211404204.0
2685,il,5,60803.0,997.0,85764.0,85506708.0
