,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
312,17,IL,60657,1,6250,80486,503037500
313,17,IL,60657,2,8090,310299,2510318910
314,17,IL,60657,3,8640,533635,4610606400
315,17,IL,60657,4,4900,421691,2066285900
316,17,IL,60657,5,6960,973633,6776485680
317,17,IL,60657,6,5930,3310242,19629735060
318,17,IL,60659,1,7760,96077,745557520
319,17,IL,60659,2,4620,164388,759472560
320,17,IL,60659,3,2220,136446,302910120
321,17,IL,60659,4,1330,115131,153124230
322,17,IL,60659,5,1530,206644,316165320
323,17,IL,60659,6,380,180493,68587340
324,17,IL,60660,1,6470,83297,538931590
325,17,IL,60660,2,5860,214611,1257620460
326,17,IL,60660,3,3570,218961,781690770
327,17,IL,60660,4,2070,177963,368383410
328,17,IL,60660,5,2670,362527,967947090
329,17,IL,60660,6,900,318057,286251300
330,17,IL,60661,1,600,7775,4665000
331,17,IL,60661,2,800,30912,24729600
332,17,IL,60661,3,1360,85766,116641760
333,17,IL,60661,4,1320,114763,151487160
334,17,IL,60661,5,2120,292469,620034280
335,17,IL,60661,6,1030,500862,515887860
336,17,IL,60706,1,4090,49636,203011240
337,17,IL,60706,2,3010,110199,331698990
338,17,IL,60706,3,2000,123508,247016000
339,17,IL,60706,4,1370,118855,162831350
340,17,IL,60706,5,1650,219489,362156850
341,17,IL,60706,6,320,152748,48879360
342,17,IL,60707,1,7110,89842,638776620
343,17,IL,60707,2,5830,212184,1237032720
344,17,IL,60707,3,3340,205347,685858980
345,17,IL,60707,4,2060,178011,366702660
346,17,IL,60707,5,2670,363462,970443540
347,17,IL,60707,6,490,152003,74481470
348,17,IL,60712,1,1840,19771,36378640
349,17,IL,60712,2,1090,39923,43516070
350,17,IL,60712,3,810,49614,40187340
351,17,IL,60712,4,620,53801,33356620
352,17,IL,60712,5,1260,174304,219623040
353,17,IL,60712,6,820,462583,379318060
354,17,IL,60714,1,5060,60853,307916180
355,17,IL,60714,2,3590,132101,474242590
356,17,IL,60714,3,2370,146575,347382750
357,17,IL,60714,4,1570,135678,213014460
358,17,IL,60714,5,2400,323551,776522400
359,17,IL,60714,6,540,178806,96555240
360,17,IL,60803,1,3630,46667,169401210
361,17,IL,60803,2,3120,114741,357991920
362,17,IL,60803,3,1870,115134,215300580
363,17,IL,60803,4,1200,104119,124942800
364,17,IL,60803,5,1240,160461,198971640
365,17,IL,60803,6,90,35683,3211470
366,17,IL,60804,1,14210,197947,2812826870
367,17,IL,60804,2,12350,439388,5426441800
368,17,IL,60804,3,4740,287275,1361683500
369,17,IL,60804,4,1770,151116,267475320
370,17,IL,60804,5,1010,123457,124691570
371,17,IL,60804,6,70,20087,1406090
372,17,IL,60805,1,2770,33029,91490330
373,17,IL,60805,2,2190,80780,176908200
374,17,IL,60805,3,1730,106866,184878180
375,17,IL,60805,4,1180,101824,120152320
376,17,IL,60805,5,1820,246795,449166900
377,17,IL,60805,6,360,131700,47412000
378,17,IL,60827,1,5980,81178,485444440
379,17,IL,60827,2,3190,113283,361372770
380,17,IL,60827,3,1220,74198,90521560
381,17,IL,60827,4,460,39015,17946900
382,17,IL,60827,5,280,36467,10210760
383,17,IL,60827,6,0,0,0
