MEDIAN SALES PRICE OF EXISTING SINGLE-FAMILY HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSA,MSA,MSANAME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
33,16700,1440,"Charleston-North Charleston, SC ",74.5,76.2,79.4,82.3,89.9,91.6,94.3,94.9,103.6,120.0,131.7,137.9,150.8,159.4,168.9,183.5,197.0,212.4,215.4,206.2,192.7,200.5,197.0,207.5,221.7,228.2,240.8,252.2,268.8,283,293.5,324.4
34,16620,1480,"Charleston, WV",65.9,62.0,65.7,70.3,74.8,78.6,81.7,90.4,N/A,N/A,N/A,99.4,104.7,107.2,110.9,111.3,118.4,119.4,122.5,126.9,126.8,129.1,129.8,132.3,134.0,132.6,135.6,137.0,135.7,136.6,137.6,147.5
35,16740,1520,"Charlotte-Concord-Gastonia, NC-SC",64.9,68.6,74.8,75.4,78.2,78.5,79.5,86.1,91.6,98.7,101.9,103.4,107.1,109.8,111.6,123.8,133.3,140.5,150.5,145.8,139.3,140.8,146.3,155.4,170.7,190.3,194.0,208.4,226.9,241.5,258.6,296.2
36,16860,1560,"Chattanooga, TN-GA",65.4,68.0,70.8,73.0,73.6,77.5,82.8,89.5,92.2,97.7,99.1,101.1,107.3,112.3,116.7,125.4,131.9,136.0,130.9,129.1,122.6,121.4,121.4,129.1,132.3,139.7,154.7,164.6,176.1,185.7,193.3,220.1
37,16980,1600,"Chicago-Naperville-Elgin, IL-IN-WI",99.3,108.4,121.7,127.0,131.8,133.8,137.3,142.2,147.5,154.9,159.0,159.5,184.3,205.1,220.3,240.1,264.2,273.5,276.6,245.6,199.2,191.4,176.5,175.3,191.3,205.9,218.9,234.9,248.5,259.4,265.1,287.6
38,17140,1640,"Cincinnati-Middletown, OH-KY-IN ",75.8,79.8,84.9,88.6,91.4,96.5,100.4,104.8,110.5,116.3,119.9,126.7,130.2,134.1,138.9,142.5,145.9,143.2,140.8,131.8,125.8,128.0,122.3,128.3,135.5,140.6,145.4,152.3,162,174.3,185.6,208.9
39,17460,1680,"Cleveland-Elyria, OH",75.2,80.6,86.2,90.7,95.0,98.5,104.7,111.9,116.8,121.8,125.1,N/A,N/A,N/A,N/A,136.4,138.9,134.4,130.0,108.5,106.8,114.5,105.1,110.0,117.7,122.6,125.1,132.2,140.4,153.3,164.1,179.5
40,17820,1720,"Colorado Springs, CO",N/A,N/A,N/A,86.9,93.7,104.2,114.7,126.6,130.5,138.5,144.9,154.1,173.3,176.9,184.5,187.6,205.9,218.2,217.5,205.5,189.8,195.5,187.2,201.6,216.8,222.3,238.6,256.6,281.6,312.2,320.5,361.7
41,17860,1740,"Columbia, MO ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,134.9,139.3,147.1,146.3,146.7,146.3,150.3,153.7,155.2,161.2,169.5,172.8,179.7,189.3,206.4,225.4
42,17900,1760,"Columbia, SC",73.9,77.1,80.5,84.7,85.1,86.6,91.0,93.4,99.1,104.6,109.5,112.8,115.8,119.5,123.6,123.4,135.0,141.6,146.6,145.0,139.2,142.6,140.6,142.0,146.8,150.4,153.4,161.8,162.3,171.6,185,202.9
