Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
United States & Each Region ,,,,,,,,,,,,,,,,,,,,,,,
Annual & Monthly: 2001-current,,,,,,,,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rates),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Month-to-Month % Change,,,,,,Year-Over-Year % Change,,,,,,,,,,
,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,,,,,
Annual,,,,,,,,,,,,,,,,,,,,,,,
2005.05,125.4,111.2,117.4,136.8,127.2,,-1.1%,-4.2%,-1.9%,0.3%,-0.6%,,3.0%,1.2%,-3.2%,6.9%,4.7%,,,,,,
2005.06,125.8,112.0,116.9,135.9,130.2,,0.3%,0.7%,-0.4%,-0.6%,2.4%,,5.3%,2.8%,0.3%,7.3%,8.7%,,,,,,
2005.07,127.0,109.9,119.3,138.1,131.0,,0.9%,-1.9%,2.0%,1.6%,0.6%,,5.0%,0.1%,0.9%,8.8%,6.3%,,,,,,
2005.08,126.2,107.3,118.7,138.7,129.3,,-0.6%,-2.4%,-0.5%,0.5%,-1.3%,,3.6%,-1.9%,0.3%,6.9%,5.2%,,,,,,
2005.09,125.4,109.1,119.0,136.1,127.8,,-0.7%,1.7%,0.2%,-1.8%,-1.2%,,1.1%,-1.5%,-1.3%,4.6%,-0.5%,,,,,,
2005.10,122.9,107.0,112.8,135.9,125.6,,-2.0%,-1.9%,-5.2%,-0.2%,-1.7%,,-2.1%,-2.3%,-9.3%,3.4%,-3.4%,,,,,,
2005.11,120.5,100.6,115.3,133.1,122.0,,-1.9%,-6.0%,2.2%,-2.1%,-2.9%,,-2.5%,-6.6%,-3.1%,1.2%,-5.0%,,,,,,
2005.12,118.1,100.1,108.3,134.8,116.2,,-2.0%,-0.5%,-6.0%,1.3%,-4.8%,,-4.8%,-7.7%,-8.4%,2.7%,-11.1%,,,,,,
2006.01,118.2,103.5,110.8,133.1,114.2,,0.1%,3.4%,2.3%,-1.3%,-1.7%,,-3.2%,-6.6%,-1.2%,2.8%,-12.1%,,,,,,
2006.02,117.4,105.6,110.1,131.6,112.2,,-0.7%,2.0%,-0.7%,-1.1%,-1.8%,,-5.5%,-1.7%,-8.0%,0.6%,-14.8%,,,,,,
2006.03,115.4,102.9,105.0,130.4,112.7,,-1.7%,-2.6%,-4.6%,-0.9%,0.4%,,-6.7%,-5.2%,-10.5%,-0.8%,-13.4%,,,,,,
2006.04,113.7,108.0,100.7,128.6,108.7,,-1.4%,5.0%,-4.1%,-1.4%,-3.5%,,-10.4%,-7.0%,-15.8%,-5.6%,-15.1%,,,,,,
2006.05,112.5,98.0,102.2,128.3,109.9,,-1.1%,-9.3%,1.5%,-0.3%,1.1%,,-10.3%,-11.9%,-12.9%,-6.2%,-13.6%,,,,,,
2006.06,111.1,95.3,101.4,126.5,109.5,,-1.2%,-2.8%,-0.8%,-1.3%,-0.4%,,-11.7%,-14.9%,-13.3%,-6.9%,-15.9%,,,,,,
2006.07,109.0,95.3,99.0,122.8,108.6,,-1.9%,0.0%,-2.4%,-3.0%,-0.8%,,-14.2%,-13.3%,-17.0%,-11.1%,-17.1%,,,,,,
2006.08,108.8,95.7,96.8,124.7,106.7,,-0.2%,0.4%,-2.2%,1.6%,-1.7%,,-13.8%,-10.8%,-18.4%,-10.1%,-17.5%,,,,,,
2006.09,107.6,93.8,96.3,124.8,103.3,,-1.1%,-1.9%,-0.5%,0.1%,-3.2%,,-14.2%,-14.0%,-19.1%,-8.3%,-19.2%,,,,,,
2006.10,106.7,93.2,97.7,122.3,102.4,,-0.8%,-0.6%,1.4%,-2.0%,-0.9%,,-13.2%,-12.9%,-13.4%,-10.0%,-18.5%,,,,,,
2006.11,109.1,95.4,101.3,124.4,104.1,,2.2%,2.4%,3.7%,1.7%,1.7%,,-9.5%,-5.2%,-12.1%,-6.5%,-14.7%,,,,,,
2006.12,112.2,99.7,101.1,128.8,107.8,,2.9%,4.5%,-0.2%,3.5%,3.6%,,-5.0%,-0.4%,-6.6%,-4.5%,-7.2%,,,,,,
2007.01,107.1,100.7,97.4,119.0,103.5,,-4.6%,1.0%,-3.6%,-7.6%,-4.0%,,-9.4%,-2.7%,-12.1%,-10.6%,-9.4%,,,,,,
2007.02,107.9,99.0,98.2,122.3,102.7,,0.8%,-1.6%,0.8%,2.8%,-0.8%,,-8.1%,-6.3%,-10.8%,-7.1%,-8.5%,,,,,,
2007.03,104.6,94.6,96.6,116.9,101.7,,-3.1%,-4.5%,-1.6%,-4.4%,-1.0%,,-9.4%,-8.1%,-8.0%,-10.4%,-9.8%,,,,,,
2007.04,100.9,88.2,95.3,114.1,95.9,,-3.6%,-6.7%,-1.3%,-2.4%,-5.7%,,-11.3%,-18.3%,-5.4%,-11.3%,-11.8%,,,,,,
2007.05,98.8,90.4,90.5,110.1,96.5,,-2.0%,2.4%,-5.0%,-3.5%,0.6%,,-12.2%,-7.8%,-11.4%,-14.2%,-12.2%,,,,,,
2007.06,100.1,89.2,91.6,109.1,103.4,,1.3%,-1.3%,1.2%,-0.9%,7.2%,,-9.9%,-6.4%,-9.7%,-13.8%,-5.6%,,,,,,
2007.07,92.8,85.3,84.5,105.6,87.3,,-7.3%,-4.4%,-7.8%,-3.2%,-15.6%,,-14.9%,-10.5%,-14.6%,-14.0%,-19.6%,,,,,,
2007.08,85.1,76.7,81.2,98.4,75.0,,-8.3%,-10.1%,-3.9%,-6.8%,-14.1%,,-21.8%,-19.9%,-16.1%,-21.1%,-29.7%,,,,,,
2007.09,86.8,76.1,85.6,99.6,76.2,,1.9%,-0.8%,5.4%,1.2%,1.6%,,-19.3%,-18.9%,-11.1%,-20.2%,-26.2%,,,,,,
2007.10,88.9,80.1,85.2,98.9,83.9,,2.4%,5.3%,-0.4%,-0.8%,10.1%,,-16.7%,-14.1%,-12.8%,-19.1%,-18.1%,,,,,,
2007.11,88.2,78.4,84.0,99.4,82.4,,-0.8%,-2.1%,-1.4%,0.5%,-1.8%,,-19.2%,-17.8%,-17.1%,-20.1%,-20.8%,,,,,,
2007.12,86.1,75.1,85.0,95.0,81.5,,-2.4%,-4.2%,1.2%,-4.4%,-1.1%,,-23.3%,-24.7%,-15.9%,-26.2%,-24.4%,,,,,,
2008.01,86.1,72.1,84.8,91.2,90.5,,0.1%,-4.0%,-0.3%,-4.1%,11.0%,,-19.6%,-28.4%,-12.9%,-23.4%,-12.6%,,,,,,
2008.02,87.8,78.8,84.5,90.5,94.0,,1.9%,9.3%,-0.3%,-0.8%,3.9%,,-18.6%,-20.4%,-14.0%,-26.0%,-8.5%,,,,,,
2008.03,82.8,76.9,74.4,84.9,93.0,,-5.7%,-2.5%,-12.0%,-6.2%,-1.1%,,-20.8%,-18.7%,-23.0%,-27.4%,-8.6%,,,,,,
2008.04,88.4,78.2,81.7,90.3,100.4,,6.8%,1.8%,9.8%,6.3%,8.0%,,-12.4%,-11.3%,-14.3%,-20.9%,4.7%,,,,,,
2008.05,85.1,74.6,78.2,86.7,97.9,,-3.8%,-4.6%,-4.3%,-3.9%,-2.5%,,-13.9%,-17.5%,-13.6%,-21.3%,1.5%,,,,,,
2008.06,88.6,75.1,80.0,91.4,103.6,,4.1%,0.6%,2.4%,5.5%,5.8%,,-11.5%,-15.8%,-12.7%,-16.2%,0.2%,,,,,,
2008.07,87.4,73.8,82.2,92.2,96.2,,-1.3%,-1.7%,2.7%,0.8%,-7.1%,,-5.8%,-13.5%,-2.7%,-12.7%,10.2%,,,,,,
2008.08,88.7,74.0,81.8,93.4,100.3,,1.5%,0.3%,-0.5%,1.3%,4.3%,,4.2%,-3.5%,0.7%,-5.1%,33.7%,,,,,,
2008.09,90.7,77.1,88.3,91.7,102.2,,2.2%,4.2%,8.0%,-1.8%,1.9%,,4.5%,1.3%,3.2%,-7.9%,34.1%,,,,,,
2008.10,83.8,67.7,78.3,87.1,96.8,,-7.6%,-12.2%,-11.3%,-5.0%,-5.3%,,-5.7%,-15.5%,-8.1%,-11.9%,15.4%,,,,,,
2008.11,80.2,61.6,72.9,84.6,95.4,,-4.3%,-9.1%,-6.9%,-2.9%,-1.4%,,-9.1%,-21.4%,-13.2%,-14.9%,15.8%,,,,,,
2008.12,88.2,72.1,85.7,93.5,95.0,,10.0%,17.1%,17.6%,10.6%,-0.4%,,2.4%,-4.0%,0.8%,-1.6%,16.6%,,,,,,
2009.01,83.2,62.8,75.4,86.5,102.1,,-5.7%,-12.9%,-12.0%,-7.5%,7.5%,,-3.4%,-12.9%,-11.1%,-5.2%,12.8%,,,,,,
