Existing Condo/Coop Sales,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,
"Monthly, 1999 to current",,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,
2012.02,"35,000","5,000","3,000","17,000","10,000",0,9.4%,0.0%,50.0%,6.3%,11.1%,,,,,,,,
2012.03,"44,000","6,000","4,000","21,000","13,000",0,-4.3%,0.0%,0.0%,-8.7%,0.0%,,,,,,,,
2012.04,"45,000","9,000","5,000","19,000","12,000",,7.1%,28.6%,25.0%,0.0%,0.0%,,,,,,,,
2012.05,"49,000","11,000","6,000","20,000","12,000",,14.0%,22.2%,20.0%,11.1%,9.1%,,,,,,,,
2012.06,"47,000","9,000","7,000","21,000","10,000",,4.4%,12.5%,16.7%,10.5%,-16.7%,,,,,,,,
2012.07,"52,000","13,000","8,000","21,000","10,000",,15.6%,18.2%,33.3%,10.5%,11.1%,,,,,,,,
2012.08,"53,000","12,000","7,000","19,000","15,000",,15.2%,20.0%,40.0%,11.8%,7.1%,,,,,,,,
2012.09,"45,000","9,000","6,000","21,000","9,000",,7.1%,12.5%,20.0%,10.5%,-10.0%,,,,,,,,
2012.10,"47,000","9,000","6,000","21,000","11,000",,23.7%,28.6%,50.0%,23.5%,10.0%,,,,,,,,
2012.11,"40,000","8,000","6,000","19,000","7,000",,29.0%,33.3%,50.0%,35.7%,0.0%,,,,,,,,
2012.12,"45,000","9,000","5,000","19,000","12,000",,15.4%,12.5%,25.0%,18.8%,9.1%,,,,,,,,
2013.01,"30,000","5,000","4,000","13,000","8,000",,15.4%,25.0%,33.3%,18.2%,0.0%,,,,,,,,
2013.02,"42,000","6,000","4,000","22,000","10,000",,20.0%,20.0%,33.3%,29.4%,0.0%,,,,,,,,
2013.03,"52,000","7,000","5,000","26,000","14,000",,18.2%,16.7%,25.0%,23.8%,7.7%,,,,,,,,
2013.04,"53,000","10,000","6,000","24,000","13,000",,17.8%,11.1%,20.0%,26.3%,8.3%,,,,,,,,
2013.05,"59,000","13,000","8,000","24,000","14,000",,20.4%,18.2%,33.3%,20.0%,16.7%,,,,,,,,
2013.06,"54,000","10,000","8,000","23,000","13,000",,14.9%,11.1%,14.3%,9.5%,30.0%,,,,,,,,
2013.07,"64,000","16,000","10,000","26,000","12,000",,23.1%,23.1%,25.0%,23.8%,20.0%,,,,,,,,
2013.08,"61,000","13,000","9,000","23,000","16,000",,15.1%,8.3%,28.6%,21.1%,6.7%,,,,,,,,
2013.09,"52,000","11,000","7,000","23,000","11,000",,15.6%,22.2%,16.7%,9.5%,22.2%,,,,,,,,
2013.10,"52,000","10,000","7,000","23,000","12,000",,10.6%,11.1%,16.7%,9.5%,9.1%,,,,,,,,
2013.11,"38,000","8,000","5,000","18,000","7,000",,-5.0%,0.0%,-16.7%,-5.3%,0.0%,,,,,,,,
2013.12,"46,000","9,000","6,000","20,000","11,000",,2.2%,0.0%,20.0%,5.3%,-8.3%,,,,,,,,
2014.01,"32,000","5,000","4,000","15,000","8,000",,6.7%,0.0%,0.0%,15.4%,0.0%,,,,,,,,
2014.02,"39,000","5,000","4,000","20,000","10,000",,-7.1%,-16.7%,0.0%,-9.1%,0.0%,,,,,,,,
2014.03,"49,000","7,000","5,000","24,000","13,000",,-5.8%,0.0%,0.0%,-7.7%,-7.1%,,,,,,,,
2014.04,"54,000","10,000","6,000","24,000","14,000",,1.9%,0.0%,0.0%,0.0%,7.7%,,,,,,,,
2014.05,"55,000","11,000","7,000","23,000","14,000",,-6.8%,-15.4%,-12.5%,-4.2%,0.0%,,,,,,,,
2014.06,"56,000","10,000","8,000","24,000","14,000",,3.7%,0.0%,0.0%,4.3%,7.7%,,,,,,,,
2014.07,"60,000","14,000","9,000","25,000","12,000",,-6.3%,-12.5%,-10.0%,-3.8%,0.0%,,,,,,,,
2014.08,"55,000","12,000","8,000","21,000","14,000",,-9.8%,-7.7%,-11.1%,-8.7%,-12.5%,,,,,,,,
2014.09,"52,000","10,000","7,000","23,000","12,000",,0.0%,-9.1%,0.0%,0.0%,9.1%,,,,,,,,
2014.10,"54,000","11,000","7,000","24,000","12,000",,3.8%,10.0%,0.0%,4.3%,0.0%,,,,,,,,
2014.11,"38,000","8,000","5,000","18,000","7,000",,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,
2014.12,"47,000","9,000","6,000","21,000","11,000",,2.2%,0.0%,0.0%,5.0%,0.0%,,,,,,,,
2015.01,"29,000","4,000","4,000","13,000","8,000",,-9.4%,-20.0%,0.0%,-13.3%,0.0%,,,,,,,,
2015.02,"37,000","5,000","4,000","19,000","9,000",,-5.1%,0.0%,0.0%,-5.0%,-10.0%,,,,,,,,
2015.03,"53,000","7,000","5,000","27,000","14,000",,8.2%,0.0%,0.0%,12.5%,7.7%,,,,,,,,
2015.04,"54,000","8,000","6,000","25,000","15,000",,0.0%,-20.0%,0.0%,4.2%,7.1%,,,,,,,,
2015.05,"55,000","11,000","7,000","23,000","14,000",,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,
2015.06,"62,000","11,000","9,000","26,000","16,000",,10.7%,10.0%,12.5%,8.3%,14.3%,,,,,,,,
2015.07,"65,000","16,000","10,000","25,000","14,000",,8.3%,14.3%,11.1%,0.0%,16.7%,,,,,,,,
2015.08,"58,000","13,000","8,000","22,000","15,000",,5.5%,8.3%,0.0%,4.8%,7.1%,,,,,,,,
