Inventory and Months Supply of Total EHS,,,,,,,
United States,,,,,,,
"Annual and monthly, 1999 - current",,,,,,,
(Not Seasonally Adjusted and Seasonally Adjusted),,,,,,,
Existing Home Sales Program © 2021,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,
,,,,,,,
,,,,,,,
,Inventory,Months Supply,,SA Inv,SA Months,,
2016.08,"2,010,000",4.5,,"1,880,000",4.2,,
2016.09,"2,030,000",4.5,,"1,930,000",4.2,,
2016.10,"2,010,000",4.3,,"1,960,000",4.2,,
2016.11,"1,850,000",4.0,,"1,900,000",4.1,,
2016.12,"1,650,000",3.6,,"1,910,000",4.2,,
2017.01,"1,680,000",3.6,,"1,900,000",4,,
2017.02,"1,730,000",3.8,,"1,890,000",4.2,,
2017.03,"1,800,000",3.9,,"1,850,000",4,,
2017.04,"1,920,000",4.1,,"1,830,000",3.9,,
2017.05,"1,970,000",4.2,,"1,830,000",3.9,,
2017.06,"1,940,000",4.2,,"1,790,000",3.9,,
2017.07,"1,920,000",4.2,,"1,780,000",3.9,,
2017.08,"1,870,000",4.2,,"1,770,000",3.9,,
2017.09,"1,860,000",4.1,,"1,790,000",3.9,,
2017.10,"1,800,000",4.0,,"1,780,000",3.9,,
2017.11,"1,670,000",3.6,,"1,720,000",3.7,,
2017.12,"1,460,000",3.1,,"1,700,000",3.7,,
2018.01,"1,520,000",3.4,,"1,700,000",3.8,,
2018.02,"1,580,000",3.5,,"1,670,000",3.7,,
2018.03,"1,640,000",3.6,,"1,710,000",3.7,,
2018.04,"1,800,000",3.9,,"1,710,000",3.8,,
2018.05,"1,870,000",4.1,,"1,750,000",3.9,,
2018.06,"1,930,000",4.2,,"1,760,000",3.9,,
2018.07,"1,920,000",4.3,,"1,780,000",4,,
2018.08,"1,910,000",4.3,,"1,810,000",4.1,,
2018.09,"1,880,000",4.3,,"1,820,000",4.2,,
2018.10,"1,850,000",4.3,,"1,810,000",4.2,,
2018.11,"1,740,000",4.0,,"1,800,000",4.2,,
2018.12,"1,530,000",3.7,,"1,800,000",4.3,,
2019.01,"1,590,000",3.9,,"1,810,000",4.4,,
2019.02,"1,630,000",3.7,,"1,710,000",3.8,,
2019.03,"1,670,000",3.8,,"1,690,000",3.9,,
2019.04,"1,830,000",4.2,,"1,760,000",4,,
2019.05,"1,910,000",4.2,,"1,760,000",3.9,,
2019.06,"1,920,000",4.3,,"1,770,000",4,,
2019.07,"1,900,000",4.2,,"1,770,000",3.9,,
2019.08,"1,830,000",4.1,,"1,750,000",3.9,,
