Average Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
1995.09,"143,700","165,100","118,500","123,600","186,200",,3.2%,1.6%,8.4%,1.9%,1.7%,,,,,,
1995.10,"141,100","160,600","115,700","123,100","182,000",,3.5%,1.6%,6.7%,3.0%,2.8%,,,,,,
1995.11,"141,000","160,100","117,000","122,800","181,100",,3.2%,-1.1%,9.1%,2.4%,2.0%,,,,,,
1995.12,"141,700","161,700","117,500","123,500","181,600",,2.3%,-2.5%,5.0%,3.6%,1.6%,,,,,,
1996.01,"143,000","157,600","118,900","124,100","187,300",,5.1%,-0.9%,9.3%,4.7%,5.2%,,,,,,
1996.02,"140,400","151,600","115,000","124,500","183,700",,4.4%,-1.3%,8.8%,5.6%,3.0%,,,,,,
1996.03,"141,800","158,900","115,000","123,900","184,600",,4.5%,-0.1%,6.6%,4.4%,5.5%,,,,,,
1996.04,"144,100","164,900","118,900","125,700","184,000",,5.9%,3.7%,9.3%,7.4%,3.1%,,,,,,
1996.05,"146,900","164,800","121,100","126,900","191,500",,6.3%,4.7%,7.0%,6.4%,6.6%,,,,,,
1996.06,"152,700","174,500","125,900","133,500","195,600",,5.0%,1.4%,6.4%,5.0%,6.0%,,,,,,
1996.07,"151,100","175,700","124,800","129,900","195,900",,4.8%,1.9%,5.2%,4.5%,6.4%,,,,,,
1996.08,"150,700","175,500","125,600","130,600","192,200",,3.9%,1.1%,4.4%,4.7%,4.0%,,,,,,
