Average Sales Price of Existing Condo Homes,,,,,,,,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1999 to present,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,,,,,,,,
2004.02,"216,800","230,000","202,400","176,600","265,500",,13.6%,21.8%,11.1%,11.4%,5.6%,,,,,,,,,,,,,,,
2004.03,"223,900","235,100","205,900","191,300","270,300",,15.3%,21.8%,3.8%,18.1%,10.9%,,,,,,,,,,,,,,,
2004.04,"225,100","232,200","212,100","190,000","277,200",,13.8%,9.4%,6.1%,18.6%,12.2%,,,,,,,,,,,,,,,
2004.05,"233,000","253,400","214,100","191,000","281,800",,18.1%,15.3%,12.4%,28.8%,7.8%,,,,,,,,,,,,,,,
2004.06,"240,800","252,100","213,900","208,100","294,500",,17.9%,10.4%,17.0%,27.4%,11.7%,,,,,,,,,,,,,,,
2004.07,"237,600","260,600","218,200","194,300","284,100",,20.3%,16.7%,13.8%,18.7%,29.5%,,,,,,,,,,,,,,,
2004.08,"236,600","253,500","223,900","198,600","276,400",,18.7%,13.0%,15.4%,26.8%,19.3%,,,,,,,,,,,,,,,
2004.09,"235,900","254,900","213,000","201,000","278,700",,17.9%,11.7%,7.2%,28.2%,22.2%,,,,,,,,,,,,,,,
2004.10,"231,500","238,800","211,000","195,400","291,900",,15.8%,19.3%,5.4%,18.6%,13.2%,,,,,,,,,,,,,,,
2004.11,"238,500","246,400","209,300","205,600","298,500",,17.2%,19.7%,9.9%,21.3%,12.6%,,,,,,,,,,,,,,,
2004.12,"245,800","261,500","221,400","204,900","299,300",,13.2%,12.7%,6.7%,18.3%,10.9%,,,,,,,,,,,,,,,
2005.01,"250,600","260,100","224,700","223,500","296,500",,13.8%,12.3%,11.0%,18.9%,12.8%,,,,,,,,,,,,,,,
